e,n,d
300.0,300.0,429
300.0,300.0,430
300.0,300.0,431
300.0,300.0,432
300.0,300.0,433
300.0,300.0,434
300.0,300.0,435
300.0,300.0,436
300.0,300.0,437
300.0,300.0,438
300.0,300.0,439
300.0,300.0,440
300.0,300.0,441
300.0,300.0,442
300.0,300.0,443
300.0,300.0,444
300.0,300.0,445
300.0,300.0,446
300.0,300.0,447
300.0,300.0,448
300.0,300.0,449
300.0,300.0,450
300.0,300.0,451
300.0,300.0,452
300.0,300.0,453
300.0,300.0,454
300.0,300.0,455
300.0,300.0,456
300.0,300.0,457
300.0,300.0,458
300.0,300.0,459
300.0,300.0,460
300.0,300.0,461
300.0,300.0,462
300.0,300.0,463
300.0,300.0,464
300.0,300.0,465
300.0,300.0,466
300.0,300.0,467
300.0,300.0,468
300.0,300.0,469
300.0,300.0,470
300.0,300.0,471
300.0,300.0,472
300.0,300.0,473
300.0,300.0,474
300.0,300.0,475
300.0,300.0,476
300.0,300.0,477
300.0,300.0,478
300.0,300.0,479
300.0,300.0,480
300.0,300.0,481
300.0,300.0,482
300.0,300.0,483
300.0,300.0,484
300.0,300.0,485
300.0,300.0,486
300.0,300.0,487
300.0,300.0,488
300.0,300.0,489
300.0,300.0,490
300.0,300.0,491
300.0,300.0,492
300.0,300.0,493
300.0,300.0,494
300.0,300.0,495
300.0,300.0,496
300.0,300.0,497
300.0,300.0,498
300.0,300.0,499
300.0,300.0,500
300.0,300.0,501
300.0,300.0,502
300.0,300.0,503
300.0,300.0,504
300.0,300.0,505
300.0,300.0,506
300.0,300.0,507
300.0,300.0,508
300.0,300.0,509
300.0,300.0,510
300.0,300.0,511
300.0,300.0,512
300.0,300.0,513
300.0,300.0,514
300.0,300.0,515
300.0,300.0,516
300.0,300.0,517
300.0,300.0,518
300.0,300.0,519
300.0,300.0,520
300.0,300.0,521
300.0,300.0,522
300.0,300.0,523
300.0,300.0,524
300.0,300.0,525
300.0,300.0,526
300.0,300.0,527
300.0,300.0,528
300.0,300.0,529
300.0,300.0,530
300.0,300.0,531
300.0,300.0,532
300.0,300.0,533
300.0,300.0,534
300.0,300.0,535
300.0,300.0,536
300.0,300.0,537
300.0,300.0,538
300.0,300.0,539
300.0,300.0,540
300.0,300.0,541
300.0,300.0,542
300.0,300.0,543
300.0,300.0,544
300.0,300.0,545
300.0,300.0,546
300.0,300.0,547
300.0,300.0,548
300.0,300.0,549
300.0,300.0,550
300.0,300.0,551
300.0,300.0,552
300.0,300.0,553
300.0,300.0,554
300.0,300.0,555
300.0,300.0,556
300.0,300.0,557
300.0,300.0,558
300.0,300.0,559
300.0,300.0,560
300.0,300.0,561
300.0,300.0,562
300.0,300.0,563
300.0,300.0,564
300.0,300.0,565
300.0,300.0,566
300.0,300.0,567
300.0,300.0,568
300.0,300.0,569
300.0,300.0,570
300.0,300.0,571
300.0,300.0,572
300.0,300.0,573
300.0,300.0,574
300.0,300.0,575
300.0,300.0,576
300.0,300.0,577
300.0,300.0,578
300.0,300.0,579
300.0,300.0,580
300.0,300.0,581
300.0,300.0,582
300.0,300.0,583
300.0,300.0,584
300.0,300.0,585
300.0,300.0,586
300.0,300.0,587
300.0,300.0,588
300.0,300.0,589
300.0,300.0,590
300.0,300.0,591
300.0,300.0,592
300.0,300.0,593
300.0,300.0,594
300.0,300.0,595
300.0,300.0,596
300.0,300.0,597
300.0,300.0,598
300.0,300.0,599
300.0,300.0,600
300.0,300.0,601
300.0,300.0,602
300.0,300.0,603
300.0,300.0,604
300.0,300.0,605
300.0,300.0,606
300.0,300.0,607
300.0,300.0,608
300.0,300.0,609
300.0,300.0,610
300.0,300.0,611
300.0,300.0,612
300.0,300.0,613
300.0,300.0,614
300.0,300.0,615
300.0,300.0,616
300.0,300.0,617
300.0,300.0,618
300.0,300.0,619
300.0,300.0,620
300.0,300.0,621
300.0,300.0,622
300.0,300.0,623
300.0,300.0,624
300.0,300.0,625
300.0,300.0,626
300.0,300.0,627
300.0,300.0,628
300.0,300.0,629
300.0,300.0,630
300.0,300.0,631
300.0,300.0,632
300.0,300.0,633
300.0,300.0,634
300.0,300.0,635
300.0,300.0,636
300.0,300.0,637
300.0,300.0,638
300.0,300.0,639
300.0,300.0,640
300.0,300.0,641
300.0,300.0,642
300.0,300.0,643
300.0,300.0,644
300.0,300.0,645
300.0,300.0,646
300.0,300.0,647
300.0,300.0,648
300.0,300.0,649
300.0,300.0,650
300.0,300.0,651
300.0,300.0,652
300.0,300.0,653
300.0,300.0,654
300.0,300.0,655
300.0,300.0,656
300.0,300.0,657
300.0,300.0,658
300.0,300.0,659
300.0,300.0,660
300.0,300.0,661
300.0,300.0,662
300.0,300.0,663
300.0,300.0,664
300.0,300.0,665
300.0,300.0,666
300.0,300.0,667
300.0,300.0,668
300.0,300.0,669
300.0,300.0,670
300.0,300.0,671
300.0,300.0,672
300.0,300.0,673
300.0,300.0,674
300.0,300.0,675
300.0,300.0,676
300.0,300.0,677
300.0,300.0,678
300.0,300.0,679
300.0,300.0,680
300.0,300.0,681
300.0,300.0,682
300.0,300.0,683
300.0,300.0,684
300.0,300.0,685
300.0,300.0,686
300.0,300.0,687
300.0,300.0,688
300.0,300.0,689
300.0,300.0,690
300.0,300.0,691
300.0,300.0,692
300.0,300.0,693
300.0,300.0,694
300.0,300.0,695
300.0,300.0,696
300.0,300.0,697
300.0,300.0,698
300.0,300.0,699
300.0,300.0,700
300.0,300.0,701
300.0,300.0,702
300.0,300.0,703
300.0,300.0,704
300.0,300.0,705
300.0,300.0,706
300.0,300.0,707
300.0,300.0,708
300.0,300.0,709
300.0,300.0,710
300.0,300.0,711
300.0,300.0,712
300.0,300.0,713
300.0,300.0,714
300.0,300.0,715
300.0,300.0,716
300.0,300.0,717
300.0,300.0,718
300.0,300.0,719
300.0,300.0,720
300.0,300.0,721
300.0,300.0,722
300.0,300.0,723
300.0,300.0,724
300.0,300.0,725
300.0,300.0,726
300.0,300.0,727
300.0,300.0,728
300.0,300.0,729
300.0,300.0,730
300.0,300.0,731
300.0,300.0,732
300.0,300.0,733
300.0,300.0,734
300.0,300.0,735
300.0,300.0,736
300.0,300.0,737
300.0,300.0,738
300.0,300.0,739
300.0,300.0,740
300.0,300.0,741
300.0,300.0,742
300.0,300.0,743
300.0,300.0,744
300.0,300.0,745
300.0,300.0,746
300.0,300.0,747
300.0,300.0,748
300.0,300.0,749
300.0,300.0,750
300.0,300.0,751
300.0,300.0,752
300.0,300.0,753
300.0,300.0,754
300.0,300.0,755
300.0,300.0,756
300.0,300.0,757
300.0,300.0,758
300.0,300.0,759
300.0,300.0,760
300.0,300.0,761
300.0,300.0,762
300.0,300.0,763
300.0,300.0,764
300.0,300.0,765
300.0,300.0,766
300.0,300.0,767
300.0,300.0,768
300.0,300.0,769
300.0,300.0,770
300.0,300.0,771
300.0,300.0,772
300.0,300.0,773
300.0,300.0,774
300.0,300.0,775
300.0,300.0,776
300.0,300.0,777
300.0,300.0,778
300.0,300.0,779
300.0,300.0,780
300.0,300.0,781
300.0,300.0,782
300.0,300.0,783
300.0,300.0,784
300.0,300.0,785
300.0,300.0,786
300.0,300.0,787
300.0,300.0,788
300.0,300.0,789
300.0,300.0,790
300.0,300.0,791
300.0,300.0,792
300.0,300.0,793
300.0,300.0,794
300.0,300.0,795
300.0,300.0,796
300.0,300.0,797
300.0,300.0,798
300.0,300.0,799
300.0,300.0,800
300.0,300.0,801
300.0,300.0,802
300.0,300.0,803
300.0,300.0,804
300.0,300.0,805
300.0,300.0,806
300.0,300.0,807
300.0,300.0,808
300.0,300.0,809
300.0,300.0,810
300.0,300.0,811
300.0,300.0,812
300.0,300.0,813
300.0,300.0,814
300.0,300.0,815
300.0,300.0,816
300.0,300.0,817
300.0,300.0,818
300.0,300.0,819
300.0,300.0,820
300.0,300.0,821
300.0,300.0,822
300.0,300.0,823
300.0,300.0,824
300.0,300.0,825
300.0,300.0,826
300.0,300.0,827
300.0,300.0,828
300.0,300.0,829
300.0,300.0,830
300.0,300.0,831
300.0,300.0,832
300.0,300.0,833
300.0,300.0,834
300.0,300.0,835
300.0,300.0,836
300.0,300.0,837
300.0,300.0,838
300.0,300.0,839
300.0,300.0,840
300.0,300.0,841
300.0,300.0,842
300.0,300.0,843
300.0,300.0,844
300.0,300.0,845
300.0,300.0,846
300.0,300.0,847
300.0,300.0,848
300.0,300.0,849
300.0,300.0,850
300.0,300.0,851
300.0,300.0,852
300.0,300.0,853
300.0,300.0,854
300.0,300.0,855
300.0,300.0,856
300.0,300.0,857
300.0,300.0,858
300.0,300.0,859
300.0,300.0,860
300.0,300.0,861
300.0,300.0,862
300.0,300.0,863
300.0,300.0,864
300.0,300.0,865
300.0,300.0,866
300.0,300.0,867
300.0,300.0,868
300.0,300.0,869
300.0,300.0,870
300.0,300.0,871
300.0,300.0,872
300.0,300.0,873
300.0,300.0,874
300.0,300.0,875
300.0,300.0,876
300.0,300.0,877
300.0,300.0,878
300.0,300.0,879
300.0,300.0,880
300.0,300.0,881
300.0,300.0,882
300.0,300.0,883
300.0,300.0,884
300.0,300.0,885
300.0,300.0,886
300.0,300.0,887
300.0,300.0,888
300.0,300.0,889
300.0,300.0,890
300.0,300.0,891
300.0,300.0,892
300.0,300.0,893
300.0,300.0,894
300.0,300.0,895
300.0,300.0,896
300.0,300.0,897
300.0,300.0,898
300.0,300.0,899
300.0,300.0,900
300.0,300.0,901
300.0,300.0,902
300.0,300.0,903
300.0,300.0,904
300.0,300.0,905
300.0,300.0,906
300.0,300.0,907
300.0,300.0,908
300.0,300.0,909
300.0,300.0,910
300.0,300.0,911
300.0,300.0,912
300.0,300.0,913
300.0,300.0,914
300.0,300.0,915
300.0,300.0,916
300.0,300.0,917
300.0,300.0,918
300.0,300.0,919
300.0,300.0,920
300.0,300.0,921
300.0,300.0,922
300.0,300.0,923
300.0,300.0,924
300.0,300.0,925
300.0,300.0,926
300.0,300.0,927
300.0,300.0,928
300.0,300.0,929
300.0,300.0,930
300.0,300.0,931
300.0,300.0,932
300.0,300.0,933
300.0,300.0,934
300.0,300.0,935
300.0,300.0,936
300.0,300.0,937
300.0,300.0,938
300.0,300.0,939
300.0,300.0,940
300.0,300.0,941
300.0,300.0,942
300.0,300.0,943
300.0,300.0,944
300.0,300.0,945
300.0,300.0,946
300.0,300.0,947
300.0,300.0,948
300.0,300.0,949
300.0,300.0,950
300.0,300.0,951
300.0,300.0,952
300.0,300.0,953
300.0,300.0,954
300.0,300.0,955
300.0,300.0,956
300.0,300.0,957
300.0,300.0,958
300.0,300.0,959
300.0,300.0,960
300.0,300.0,961
300.0,300.0,962
300.0,300.0,963
300.0,300.0,964
300.0,300.0,965
300.0,300.0,966
300.0,300.0,967
300.0,300.0,968
300.0,300.0,969
300.0,300.0,970
300.0,300.0,971
300.0,300.0,972
300.0,300.0,973
300.0,300.0,974
300.0,300.0,975
300.0,300.0,976
300.0,300.0,977
300.0,300.0,978
300.0,300.0,979
300.0,300.0,980
300.0,300.0,981
300.0,300.0,982
300.0,300.0,983
300.0,300.0,984
300.0,300.0,985
300.0,300.0,986
300.0,300.0,987
300.0,300.0,988
300.0,300.0,989
300.0,300.0,990
300.0,300.0,991
300.0,300.0,992
300.0,300.0,993
300.0,300.0,994
300.0,300.0,995
300.0,300.0,996
300.0,300.0,997
300.0,300.0,998
300.0,300.0,999
300.0,300.0,1000
300.0,300.0,1001
300.0,300.0,1002
300.0,300.0,1003
300.0,300.0,1004
300.0,300.0,1005
300.0,300.0,1006
300.0,300.0,1007
300.0,300.0,1008
300.0,300.0,1009
300.0,300.0,1010
300.0,300.0,1011
300.0,300.0,1012
300.0,300.0,1013
300.0,300.0,1014
300.0,300.0,1015
300.0,300.0,1016
300.0,300.0,1017
300.0,300.0,1018
300.0,300.0,1019
300.0,300.0,1020
300.0,300.0,1021
300.0,300.0,1022
300.0,300.0,1023
300.0,300.0,1024
300.0,300.0,1025
300.0,300.0,1026
300.0,300.0,1027
300.0,300.0,1028
300.0,300.0,1029
300.0,300.0,1030
300.0,300.0,1031
300.0,300.0,1032
300.0,300.0,1033
300.0,300.0,1034
300.0,300.0,1035
300.0,300.0,1036
300.0,300.0,1037
300.0,300.0,1038
300.0,300.0,1039
300.0,300.0,1040
300.0,300.0,1041
300.0,300.0,1042
300.0,300.0,1043
300.0,300.0,1044
300.0,300.0,1045
300.0,300.0,1046
300.0,300.0,1047
300.0,300.0,1048
300.0,300.0,1049
300.0,300.0,1050
300.0,300.0,1051
300.0,300.0,1052
300.0,300.0,1053
300.0,300.0,1054
300.0,300.0,1055
300.0,300.0,1056
300.0,300.0,1057
300.0,300.0,1058
300.0,300.0,1059
300.0,300.0,1060
300.0,300.0,1061
300.0,300.0,1062
300.0,300.0,1063
300.0,300.0,1064
300.0,300.0,1065
300.0,300.0,1066
300.0,300.0,1067
300.0,300.0,1068
300.0,300.0,1069
300.0,300.0,1070
300.0,300.0,1071
300.0,300.0,1072
300.0,300.0,1073
300.0,300.0,1074
300.0,300.0,1075
300.0,300.0,1076
300.0,300.0,1077
300.0,300.0,1078
300.0,300.0,1079
300.0,300.0,1080
300.0,300.0,1081
300.0,300.0,1082
300.0,300.0,1083
300.0,300.0,1084
300.0,300.0,1085
300.0,300.0,1086
300.0,300.0,1087
300.0,300.0,1088
300.0,300.0,1089
300.0,300.0,1090
300.0,300.0,1091
300.0,300.0,1092
300.0,300.0,1093
300.0,300.0,1094
300.0,300.0,1095
300.0,300.0,1096
300.0,300.0,1097
300.0,300.0,1098
300.0,300.0,1099
300.0,300.0,1100
300.0,300.0,1101
300.0,300.0,1102
300.0,300.0,1103
300.0,300.0,1104
300.0,300.0,1105
300.0,300.0,1106
300.0,300.0,1107
300.0,300.0,1108
300.0,300.0,1109
300.0,300.0,1110
300.0,300.0,1111
300.0,300.0,1112
300.0,300.0,1113
300.0,300.0,1114
300.0,300.0,1115
300.0,300.0,1116
300.0,300.0,1117
300.0,300.0,1118
300.0,300.0,1119
300.0,300.0,1120
300.0,300.0,1121
300.0,300.0,1122
300.0,300.0,1123
300.0,300.0,1124
300.0,300.0,1125
300.0,300.0,1126
300.0,300.0,1127
300.0,300.0,1128
300.0,300.0,1129
300.0,300.0,1130
300.0,300.0,1131
300.0,300.0,1132
300.0,300.0,1133
300.0,300.0,1134
300.0,300.0,1135
300.0,300.0,1136
300.0,300.0,1137
300.0,300.0,1138
300.0,300.0,1139
300.0,300.0,1140
300.0,300.0,1141
300.0,300.0,1142
300.0,300.0,1143
300.0,300.0,1144
300.0,300.0,1145
300.0,300.0,1146
300.0,300.0,1147
300.0,300.0,1148
300.0,300.0,1149
300.0,300.0,1150
300.0,300.0,1151
300.0,300.0,1152
300.0,300.0,1153
300.0,300.0,1154
300.0,300.0,1155
300.0,300.0,1156
300.0,300.0,1157
300.0,300.0,1158
300.0,300.0,1159
300.0,300.0,1160
300.0,300.0,1161
300.0,300.0,1162
